Date,Open,High,Low,Close,P_Open,Error,Pred Dir,Act Dir,Correct
2014-11-28,363.59,381.34,360.57,376.28,,,,,
2014-11-29,376.42,386.6,372.25,376.72,,,,,
2014-11-30,376.57,381.99,373.32,373.34,,,,,
2014-12-01,376.4,382.31,373.03,378.39,,,,,
2014-12-02,378.39,382.86,375.23,379.25,,,,,
2014-12-03,379.25,383,374.23,376.67,,,,,
2014-12-04,376.67,378.99,360.01,365.2,,,,,
2014-12-05,365.2,377.89,363.99,374.95,,,,,
2014-12-06,374.95,376.99,371.31,375.07,,,,,
2014-12-07,375.07,377.5,373.16,376.87,,,,,
2014-12-08,376.87,377.45,364.6,364.61,,,,,
2014-12-09,364.61,365.48,343.97,350.49,,,,,
2014-12-10,350.49,353.74,347.23,348.13,,,,,
2014-12-11,348.13,364.43,339.8,348.98,,,,,
2014-12-12,348.98,358.59,348,354.48,,,,,
2014-12-13,354.48,354.95,347.03,351.45,,,,,
2014-12-14,351.45,351.98,348.96,350.17,,,,,
2014-12-15,350.17,350.17,350.17,350.17,,,,,
2014-12-16,350.17,350.17,330,330.02,,,,,
2014-12-17,331.56,335.99,315.23,321.1,,,,,
2014-12-18,321.32,325.61,304.99,312.17,,,,,
2014-12-19,310.48,320,307.11,318,,,,,
2014-12-20,317.23,333,316.52,329.99,,,,,
2014-12-21,332.58,332.98,318.78,323.15,,,,,
2014-12-22,322.24,333.99,319.9,330.52,,,,,
2014-12-23,330.52,338.99,327.49,335.49,,,,,
2014-12-24,337,337,320.92,322.14,,,,,
2014-12-25,320.92,324.23,316.63,319.39,,,,,
2014-12-26,319,332,316.64,330.88,,,,,
2014-12-27,330.97,330.97,311.63,315.89,,,,,
2014-12-28,315.89,319.56,311.22,316.63,,,,,
2014-12-29,316.63,320.14,311.61,314.78,,,,,
2014-12-30,314.78,316.77,310,311.94,,,,,
2014-12-31,311.94,320,310.69,319.25,,,,,
2015-01-01,319.25,321,312.6,316.31,,,,,
2015-01-02,316.31,317.01,311.96,316.51,,,,,
2015-01-03,316.51,316.58,285,286.01,,,,,
2015-01-04,286.01,289.81,255,264.62,,,,,
2015-01-05,264.62,280,262.94,276.8,,,,,
2015-01-06,276.8,276.8,276.8,276.8,,,,,
2015-01-07,276.8,276.8,276.8,276.8,,,,,
2015-01-08,276.8,276.8,276.8,276.8,,,,,
2015-01-09,276.8,276.8,276.8,276.8,,,,,
2015-01-10,276.8,276.8,276.8,276.8,,,,,
2015-01-11,276.8,276.8,276.8,276.8,,,,,
2015-01-12,270.4,272.43,263.54,268.16,,,,,
2015-01-13,268.16,268.72,216,221,,,,,
2015-01-14,221,230.89,152.4,162,,,,,
2015-01-15,162,233.9,161.1,208.81,,,,,
2015-01-16,214.77,223.15,198.04,206.6,,,,,
2015-01-17,206.6,212.84,192.17,200.1,,,,,
2015-01-18,200.1,222,195.02,211.42,,,,,
2015-01-19,210.05,220.94,207.7,216.88,,,,,
2015-01-20,217.84,217.84,201.98,211.08,,,,,
2015-01-21,211.08,228.9,205,228.59,,,,,
2015-01-22,228.59,239,226.01,233,,,,,
2015-01-23,233,240,225.55,233.03,,,,,
2015-01-24,233.03,249.99,230.03,249.99,,,,,
2015-01-25,249.99,257,241.33,253.09,,,,,
2015-01-26,253.09,309.9,253.09,269.5,,,,,
2015-01-27,269.5,278.51,243.1,262.99,,,,,
2015-01-28,262.99,266.45,225.91,236.2,,,,,
2015-01-29,236.2,242.18,220,234.75,,,,,
2015-01-30,234.75,244.98,227.26,232.6,,,,,
2015-01-31,232.6,234.8,215.75,217.98,,,,,
2015-02-01,217.98,220.81,208.48,214.8,,,,,
2015-02-02,214.8,241.98,214.8,237.97,,,,,
2015-02-03,237.97,244.39,223.79,227.35,,,,,
2015-02-04,227.35,231,220.02,227,,,,,
2015-02-05,227,228.94,213.64,217,,,,,
2015-02-06,216.81,225.86,214.95,222.88,,,,,
2015-02-07,223.37,231.14,221.77,228.61,,,,,
2015-02-08,228.3,232.89,219.7,224.19,,,,,
2015-02-09,224.19,225.99,215,220.72,,,,,
