Date,Open,High,Low,Close,P_Open,Error,Pred_Dir,Act_Dir,Correct
2009/04/16,41.21,41.71,40.75,41.64,,,,,
2009/04/17,41.61,41.76,40.74,40.98,,,,,
2009/04/20,40.11,40.46,39.27,39.63,,,,,
2009/04/21,39.62,40.34,39.28,40.27,,,,,
2009/04/22,39.91,41.1,39.849,40.12,,,,,
2009/04/23,41.11,41.26,39.71,40.73,,,,,
2009/04/24,40.84,41.62,40.01,41.36,,,,,
2009/04/27,42.35,44.59,42.3,43.17,,,,,
2009/04/28,42.63,43.53,42.07,42.24,,,,,
2009/04/29,42.58,43.56,42,43.08,,,,,
2009/04/30,43.34,43.56,41.72,42.32,,,,,
2009/05/01,42.31,42.76,41.49,42.66,,,,,
2009/05/04,42.96,43.95,42.83,43.35,,,,,
2009/05/05,43.48,43.59,42.67,43.49,,,,,
2009/05/06,43.89,44.21,42.82,43.73,,,,,
2009/05/07,43.75,44.18,41.71,42.34,,,,,
2009/05/08,42.83,43.11,41.32,41.79,,,,,
2009/05/11,41.6,42.52,40.81,41.92,,,,,
2009/05/12,41.95,42.24,40.42,40.93,,,,,
2009/05/13,40.55,40.68,39.85,39.92,,,,,
2009/05/14,40.21,40.86,40.03,40.53,,,,,
2009/05/15,40.35,41.16,40.2,40.72,,,,,
2009/05/18,41.08,42.18,40.93,41.99,,,,,
2009/05/19,41.75,42.76,41.25,42.34,,,,,
2009/05/20,42.57,43.2,41.8,42.57,,,,,
2009/05/21,41.99,42.57,40.985,41.69,,,,,
2009/05/22,41.65,42.09,41.2,41.31,,,,,
2009/05/26,40.73,43.56,40.71,43.29,,,,,
2009/05/27,43.2,43.68,42.2,42.43,,,,,
2009/05/28,42.9,43.2,41.77,42.95,,,,,
2009/05/29,43.31,43.65,42.43,43.59,,,,,
2009/06/01,44.1,44.75,43.41,44.4,,,,,
2009/06/02,43.91,44.5,43.58,43.91,,,,,
2009/06/03,43.91,43.91,42.85,43.58,,,,,
2009/06/04,43.75,45.435,43.65,45.29,,,,,
2009/06/05,45.52,45.692,44.88,45.4,,,,,
2009/06/08,44.9,45.71,44.4,45.37,,,,,
2009/06/09,45.87,46.32,45.13,46.03,,,,,
2009/06/10,46.2,46.47,45.4,46.07,,,,,
2009/06/11,45.14,46.46,44.93,45.98,,,,,
2009/06/12,46.14,46.39,45.08,46.05,,,,,
2009/06/15,45.31,45.35,43.73,44.31,,,,,
2009/06/16,44.04,44.51,43.45,43.45,,,,,
2009/06/17,44.44,45.35,43.99,45.09,,,,,
2009/06/18,45.02,45.66,44.34,45.28,,,,,
2009/06/19,45.41,46,45.15,46,,,,,
2009/06/22,45.46,45.75,44.255,44.4,,,,,
2009/06/23,44.42,44.78,43.32,44.49,,,,,
2009/06/24,44.65,45.42,44.26,45.27,,,,,
2009/06/25,45.13,46.7,44.96,46.34,,,,,
2009/06/26,46.1,46.73,45.79,46.19,,,,,
2009/06/29,45.91,46.44,45.4,46.09,,,,,
2009/06/30,45.9,46,45.01,45.2,,,,,
2009/07/01,45.37,45.59,44.92,45.16,,,,,
2009/07/02,44.86,45.14,44.22,44.68,,,,,
2009/07/06,44.23,45.339,43.88,45.2,,,,,
2009/07/07,45.2,45.33,43.5174,43.68,,,,,
2009/07/08,43.47,43.91,43.06,43.55,,,,,
2009/07/09,43.65,43.76,43,43.06,,,,,
2009/07/10,43.13,43.6,42.8,43.44,,,,,
2009/07/13,43.72,44.32,42.67,44.31,,,,,
2009/07/14,44.26,44.835,43.95,44.65,,,,,
2009/07/15,45.09,46.145,44.75,46.06,,,,,
2009/07/16,45.93,46.84,45.76,46.72,,,,,
2009/07/17,46.89,47.61,46.25,47.4,,,,,
2009/07/20,47.47,47.49,46.39,47.03,,,,,
2009/07/21,47.02,48,46.36,47.98,,,,,
2009/07/22,47.79,48.72,47.45,48.45,,,,,
2009/07/23,46.34,47.45,46,47.4,,,,,
2009/07/24,47.1,47.6,46.66,47.35,,,,,
2009/07/27,46.97,47.35,46.16,46.48,,,,,
2009/07/28,46.34,46.52,45.95,46.36,,,,,
2009/07/29,46.01,46.5,45.8,46.25,,,,,
2009/07/30,46.7,47.45,46.38,46.52,,,,,
2009/07/31,46.26,46.85,46.04,46.21,,,,,
2009/08/03,46.673,47.16,46.31,46.97,,,,,
2009/08/04,46.81,46.85,45.96,46.31,,,,,
2009/08/05,46.22,46.39,45.31,45.81,,,,,
2009/08/06,45.9,45.97,45.29,45.6,,,,,
2009/08/07,46.07,46.43,45.85,45.97,,,,,
2009/08/10,45.57,46.07,45.47,45.74,,,,,
2009/08/11,45.61,46.1399,45.38,45.4,,,,,
2009/08/12,45.42,46.97,45.41,46.37,,,,,
2009/08/13,46.51,46.89,46.1,46.58,,,,,
2009/08/14,46.52,46.52,45.49,46.13,,,,,
2009/08/17,45.47,45.69,44.86,44.95,,,,,
2009/08/18,45.04,45.3,44.64,45.15,,,,,
2009/08/19,44.85,45.89,44.66,45.72,,,,,
2009/08/20,45.8,47.3,45.75,47.09,,,,,
2009/08/21,47.47,47.49,46.63,47.29,,,,,
2009/08/24,46.86,47.5,46.86,47.41,,,,,
2009/08/25,47.27,47.85,46.88,46.99,,,,,
2009/08/26,46.99,47.78,46.76,47.53,,,,,
2009/08/27,47.38,47.57,46.8,47.25,,,,,
2009/08/28,47.73,48.2,46.94,47.22,,,,,
2009/08/31,47,47,45.99,46.42,,,,,
2009/09/01,46.04,46.72,45.05,45.35,,,,,
2009/09/02,45,45.81,44.68,45.42,,,,,
2009/09/03,45.2,45.3,44.13,45.02,,,,,
2009/09/04,45.03,45.97,44.75,45.72,,,,,
2009/09/08,45.9,46.045,45.51,46.02,,,,,
2009/09/09,45.77,46.54,45.21,46.22,,,,,
2009/09/10,46.14,46.75,45.89,46.65,,,,,
2009/09/11,46.65,46.71,45.92,46.61,,,,,
2009/09/14,46.16,46.48,45.8,46.23,,,,,
2009/09/15,46,46.13,45.64,45.75,,,,,
2009/09/16,45.84,45.93,44.94,45.71,,,,,
2009/09/17,45.5,45.65,44.87,45.02,,,,,
2009/09/18,45.35,45.39,44,44.46,,,,,
2009/09/21,44.04,44.99,44.01,44.87,,,,,
2009/09/22,44.985,44.99,44.33,44.59,,,,,
2009/09/23,44.6,44.91,44.18,44.23,,,,,
2009/09/24,44.42,44.86,44.18,44.66,,,,,
2009/09/25,44.47,45.13,44.3,44.7,,,,,
2009/09/28,45.14,46.35,45.02,45.97,,,,,
2009/09/29,45.93,46.03,45.25,45.5,,,,,
2009/09/30,45.72,45.83,44.51,44.98,,,,,
2009/10/01,44.61,44.64,42.5,42.7,,,,,
2009/10/02,42.38,42.62,41.22,41.44,,,,,
2009/10/05,41.6,42.29,41.34,41.94,,,,,
2009/10/06,42.28,43.4,42.21,42.62,,,,,
2009/10/07,42.42,42.66,42.02,42.18,,,,,
2009/10/08,42.68,42.68,41.37,41.45,,,,,
2009/10/09,41.46,41.77,40.5,41.7,,,,,
2009/10/12,41.73,42.01,41.19,41.54,,,,,
2009/10/13,41.63,41.84,41.08,41.29,,,,,
2009/10/14,41.84,42.36,41.61,42.23,,,,,
2009/10/15,42.11,42.48,41.88,42.45,,,,,
2009/10/16,42.48,42.56,41.32,41.96,,,,,
2009/10/19,41.99,42.34,41.56,42.06,,,,,
2009/10/20,41.83,41.95,41.1,41.309,,,,,
2009/10/21,41.26,41.95,41.26,41.41,,,,,
2009/10/22,40.73,41.24,40.15,41.08,,,,,
2009/10/23,40.8,41.11,40.53,40.7,,,,,
2009/10/26,40.56,41.46,40.37,40.68,,,,,
2009/10/27,40.81,41.32,40.69,41,,,,,
2009/10/28,41.08,41.98,41,41.63,,,,,
2009/10/29,42,42.55,41.87,42.27,,,,,
2009/10/30,42.63,43.08,41.32,41.33,,,,,
2009/11/02,41.35,42,41.08,41.81,,,,,
2009/11/03,41.73,42.29,41.4901,42.22,,,,,
2009/11/04,42.41,42.73,41.51,41.6,,,,,
2009/11/05,43.05,43.88,42.92,43.85,,,,,
2009/11/06,43.52,43.97,43.4,43.9,,,,,
2009/11/09,44.24,45,44.15,44.75,,,,,
2009/11/10,44.66,44.75,44.29,44.3517,,,,,
2009/11/11,44.37,44.75,44.35,44.66,,,,,
2009/11/12,44.7,45.19,44.52,44.85,,,,,
2009/11/13,45.29,46,45.24,45.77,,,,,
2009/11/16,45.9,46.25,45.29,45.51,,,,,
2009/11/17,45.58,45.99,45.46,45.99,,,,,
2009/11/18,45.83,45.93,45.2,45.49,,,,,
2009/11/19,45.05,45.36,44.55,45.09,,,,,
2009/11/20,44.76,45.25,44.76,45.1,,,,,
2009/11/23,45.25,45.9,45.25,45.55,,,,,
2009/11/24,45.9,46,45.38,45.56,,,,,
2009/11/25,45.7,45.84,45.34,45.44,,,,,
2009/11/27,44.75,45.39,44.69,44.99,,,,,
2009/11/30,44.82,45.07,44.32,45,,,,,
2009/12/01,45,45.47,44.88,45.06,,,,,
2009/12/02,45.22,45.55,44.9,45.06,,,,,
2009/12/03,45.05,45.28,44.6,44.63,,,,,
2009/12/04,45.03,45.68,44.68,45.16,,,,,
2009/12/07,45.11,45.42,44.8,44.89,,,,,
2009/12/08,44.71,45.2,44.13,44.59,,,,,
2009/12/09,44.35,44.87,44.18,44.77,,,,,
2009/12/10,45.02,45.79,44.95,45.56,,,,,
2009/12/11,45.62,45.88,44.73,44.9,,,,,
2009/12/14,45.1,45.22,44.58,44.67,,,,,
2009/12/15,44.58,45.26,44.45,44.88,,,,,
2009/12/16,44.9,45.04,44.65,44.69,,,,,
2009/12/17,44.67,44.83,44.24,44.31,,,,,
2009/12/18,44.33,44.6,44.05,44.57,,,,,
2009/12/21,44.88,45.74,44.81,45.41,,,,,
2009/12/22,45.65,45.9,45.39,45.84,,,,,
2009/12/23,45.98,46,45.72,45.95,,,,,
2009/12/24,45.94,46.11,45.79,46.1,,,,,
2009/12/28,46.05,46.29,45.75,46.26,,,,,
2009/12/29,46.26,46.88,46.12,46.65,,,,,
2009/12/30,46.31,46.99,46.24,46.86,,,,,
2009/12/31,46.88,46.92,46.26,46.26,,,,,
2010/01/04,46.79,47.315,46.57,46.94,,,,,
